Tissue_Condition,Dataset,Species,Context,Mean_Eigenperiod_h,Range_Min_h,Range_Max_h,Stability_Pct,Classification
Cerebellum,GSE54650,Mouse,Healthy,7.2,5.9,10.2,100,Ultradian
Hypothalamus,GSE54650,Mouse,Healthy,7.6,6.1,9.8,100,Ultradian
Brainstem,GSE54650,Mouse,Healthy,8.4,5.9,10.2,100,Ultradian
Adrenal,GSE54650,Mouse,Healthy,9.6,4.6,22.8,100,Ultradian
White Fat,GSE54650,Mouse,Healthy,9.8,5.2,18.4,100,Ultradian
Liver,GSE54650,Mouse,Healthy,10.4,5.3,21.1,100,Ultradian
Muscle,GSE54650,Mouse,Healthy,11.1,6.4,19.6,100,Ultradian
Aorta,GSE54650,Mouse,Healthy,11.4,5.2,44.4,100,Ultradian
Lung,GSE54650,Mouse,Healthy,12.1,5.9,25.7,100,Ultradian
Kidney,GSE54650,Mouse,Healthy,12.2,5.5,30.2,100,Ultradian
Brown Fat,GSE54650,Mouse,Healthy,12.4,5.3,28.9,100,Ultradian
Heart,GSE54650,Mouse,Healthy,13.3,6.2,32.5,100,Ultradian
Neuroblastoma MYC-ON,GSE221103,Human,Cancer,22.7,12.2,34.8,42,Near-circadian
Neuroblastoma MYC-OFF,GSE221103,Human,Cancer,23.4,13.5,44.1,58,Near-circadian
