Dataset,Total_Genes,Clock_Gene_Count,Clock_Mean_Eigenvalue,Target_Gene_Count,Target_Mean_Eigenvalue,Clock_Target_Gap,Hierarchy_Preserved
GSE54650_Liver_circadian,20955,13,0.6924,22,0.5083,0.1841,Yes
GSE54650_Heart_circadian,20955,13,0.7210,22,0.4578,0.2632,Yes
GSE54650_Kidney_circadian,20955,13,0.8131,22,0.5122,0.3009,Yes
GSE54650_Lung_circadian,20955,13,0.8386,22,0.5180,0.3206,Yes
GSE54650_Muscle_circadian,20955,13,0.6359,22,0.4621,0.1738,Yes
GSE54650_Adrenal_circadian,20955,13,0.7340,22,0.3472,0.3868,Yes
GSE54650_Aorta_circadian,20955,13,0.6924,22,0.4295,0.2629,Yes
GSE54650_Brainstem_circadian,20955,13,0.5799,22,0.4178,0.1621,Yes
GSE54650_Brown_Fat_circadian,20955,13,0.6738,22,0.4100,0.2638,Yes
GSE54650_Cerebellum_circadian,20955,13,0.5750,22,0.4894,0.0856,Yes
GSE54650_Hypothalamus_circadian,20955,13,0.4819,22,0.4188,0.0631,Yes
GSE54650_White_Fat_circadian,20955,13,0.6969,22,0.4089,0.2880,Yes
GSE48113_Human_Blood_Circadian,19225,13,0.3506,22,0.2697,0.0809,Yes
