Bin_Start,Bin_End,Total_Count,Clock_Count,Target_Count
0.0189,0.0661,60,0,0
0.0661,0.1133,189,0,0
0.1133,0.1605,421,0,1
0.1605,0.2077,641,0,0
0.2077,0.2548,932,0,0
0.2548,0.3020,1118,0,0
0.3020,0.3492,1422,0,0
0.3492,0.3964,1640,0,1
0.3964,0.4436,1840,0,6
0.4436,0.4907,1957,1,2
0.4907,0.5379,2043,0,1
0.5379,0.5851,2044,3,5
0.5851,0.6323,2079,0,3
0.6323,0.6795,1754,2,1
0.6795,0.7266,1353,1,2
0.7266,0.7738,851,2,0
0.7738,0.8210,438,3,0
0.8210,0.8682,140,1,0
0.8682,0.9154,28,0,0
0.9154,0.9625,4,0,0
